,z,density water,density H2
0,0.0,50.3669358637345,0.0
1,0.20080321285140562,0.0,0.0
2,0.40160642570281124,0.0,0.0
3,0.6024096385542168,0.0,0.0
4,0.8032128514056225,0.0,0.0
5,1.0040160642570282,0.0,0.0
6,1.2048192771084336,0.0,0.0
7,1.4056224899598393,0.0,0.0
8,1.606425702811245,0.0,0.0
9,1.8072289156626506,0.00028713355339122685,0.0
10,2.0080321285140563,0.005302855386836387,0.0
11,2.208835341365462,0.02350962939333803,0.00023358086684603768
12,2.4096385542168672,0.056737520518953706,0.0016350660679222639
13,2.610441767068273,0.19493368596855717,0.0035914482551156627
14,2.8112449799196786,1.049524898007522,0.006077660213447634
15,3.0120481927710845,2.844758185848609,0.006035501715529082
16,3.21285140562249,3.707320459814882,0.004783280385461787
17,3.4136546184738954,2.951333617486714,0.002611548033224968
18,3.6144578313253013,1.8192593251487266,0.0011792985228568245
19,3.8152610441767068,1.0998473214515267,0.0002369991234340285
20,4.016064257028113,0.7017889146369611,5.924978085850712e-05
21,4.216867469879518,0.47825267231851815,0.0
22,4.417670682730924,0.3728811850141294,0.0
23,4.618473895582329,0.2988550724149124,0.0
24,4.8192771084337345,0.355617562936521,0.0
25,5.020080321285141,0.43525492661973847,0.0
26,5.220883534136546,0.6348627142652723,0.0
27,5.421686746987952,1.002238171494444,0.0
28,5.622489959839357,1.632786190477224,0.0
29,5.823293172690763,2.074233772480899,0.0
30,6.024096385542169,2.113814883907116,0.0
31,6.224899598393574,1.8497265151469422,0.0
32,6.42570281124498,1.5191633564133713,0.0
33,6.626506024096385,1.13501322095695,0.0
34,6.827309236947791,0.8935053800070336,0.0
35,7.028112449799197,0.8311648976763053,0.0
36,7.228915662650603,0.8578063308165833,0.0
37,7.429718875502008,0.8507259840386682,0.0
38,7.6305220883534135,0.850848616028439,0.0
39,7.831325301204819,0.9834765920622695,0.0
40,8.032128514056225,1.0091497131417801,0.0
41,8.23293172690763,1.1138276452274725,0.0
42,8.433734939759036,1.146903119637742,0.0
43,8.634538152610443,1.233167713285191,0.0
44,8.835341365461847,1.2864462692165335,0.0
45,9.036144578313253,1.3544563187216636,0.0
46,9.236947791164658,1.3098469385160771,0.0
47,9.437751004016064,1.2581065297746286,0.0
48,9.638554216867469,1.2134553328967823,0.0
49,9.839357429718875,1.1849377175102058,0.0
50,10.040160642570282,1.1371122857408444,0.0
51,10.240963855421686,1.0906921358789838,0.0
52,10.441767068273093,0.9770245861809516,0.0
53,10.642570281124497,0.9319629441779785,0.0
54,10.843373493975903,0.9539835608808975,0.0
55,11.04417670682731,0.974176023877256,0.0
56,11.244979919678714,1.0805569320733108,0.0
57,11.44578313253012,1.1264533405944674,0.0
58,11.646586345381525,1.157154627589145,0.0
59,11.847389558232932,1.2069898106592059,0.0
60,12.048192771084338,1.2920060183418662,0.0
61,12.248995983935743,1.2210776926368099,0.0
62,12.449799196787149,1.2755276095917496,0.0
63,12.650602409638553,1.151625151511757,0.0
64,12.85140562248996,1.0414939433415686,0.0
65,13.052208835341366,1.0747626276971443,0.0
66,13.25301204819277,1.0484884554810225,0.0
67,13.453815261044177,1.1116503075674418,0.0
68,13.654618473895582,1.1210910579577633,0.0
69,13.855421686746988,1.1245998587821808,0.0
70,14.056224899598394,1.2565736609878306,0.0
71,14.257028112449799,1.1286954711724784,0.0
72,14.457831325301205,1.0688797952229274,0.0
73,14.65863453815261,1.1157787854096721,0.0
74,14.859437751004016,1.138026287763243,0.0
75,15.060240963855422,1.1085774913541617,0.0
76,15.261044176706827,1.145761680793424,0.0
77,15.461847389558233,1.1942429925802829,0.0
78,15.662650602409638,1.16740566304344,0.0
79,15.863453815261044,1.1497081574973347,0.0
80,16.06425702811245,1.060925140022941,0.0
81,16.265060240963855,1.0835101154100408,0.0
82,16.46586345381526,1.1490576304877402,0.0
83,16.666666666666668,1.1418333834722523,0.0
84,16.867469879518072,1.1407806908885247,0.0
85,17.068273092369477,1.0833155166849584,0.0
86,17.269076305220885,1.1364232025151086,0.0
87,17.46987951807229,1.102272979853488,0.0
88,17.670682730923694,1.083055632650173,0.0
89,17.8714859437751,1.0783136084966216,0.0
90,18.072289156626507,1.1432888147306715,0.0
91,18.27309236947791,1.1783436674684702,0.0
92,18.473895582329316,1.2064715993432638,0.0
93,18.674698795180724,1.1515363154993237,0.0
94,18.87550200803213,1.1690757495118267,0.0
95,19.076305220883533,1.2119745007364318,0.0
96,19.277108433734938,1.1850538697334208,0.0
97,19.477911646586346,1.2114795292698597,0.0
98,19.67871485943775,1.2203851056980715,0.0
99,19.879518072289155,1.12481176943957,0.0
100,20.080321285140563,1.0426507188994232,0.0
101,20.281124497991968,0.9816791357467501,0.0
102,20.481927710843372,0.9956856381232158,0.0
103,20.68273092369478,0.9950315838888009,0.0
104,20.883534136546185,1.0740922777383166,0.0
105,21.08433734939759,1.071544675971556,0.0
106,21.285140562248994,1.130140123844962,0.0
107,21.485943775100402,1.0991831302325121,0.0
108,21.686746987951807,1.0935191837390155,0.0
109,21.88755020080321,1.049323074598195,0.0
110,22.08835341365462,1.1318983990725668,0.0
111,22.289156626506024,1.1335043084517396,0.0
112,22.48995983935743,1.1795294991116232,0.0
113,22.690763052208837,1.1254561994278736,0.0
114,22.89156626506024,1.0300771074085862,0.0
115,23.092369477911646,1.0021147697187154,0.0
116,23.29317269076305,0.9897180184168057,0.0
117,23.49397590361446,0.9236278942167672,0.0
118,23.694779116465863,0.895932710687036,0.0
119,23.895582329317268,0.8579102426518058,0.0
120,24.096385542168676,0.8035618899675112,0.0
121,24.29718875502008,0.805050794141848,0.0
122,24.497991967871485,0.7232467965536539,0.0
123,24.698795180722893,0.6327094481851664,0.0
124,24.899598393574298,0.6264573201102527,0.0
125,25.100401606425702,0.6041722684793528,0.0
126,25.301204819277107,0.5433014011372075,0.0
127,25.502008032128515,0.4511127954231142,0.0
128,25.70281124497992,0.39057965997056854,0.0
129,25.903614457831324,0.3355132296937613,0.0
130,26.104417670682732,0.27605796956433415,0.0
131,26.305220883534137,0.19931083700391,0.0
132,26.50602409638554,0.176198047757973,0.0
133,26.706827309236946,0.1319699987169703,0.0
134,26.907630522088354,0.08985189048419652,0.0
135,27.10843373493976,0.06746252528249494,0.0
136,27.309236947791163,0.04481489248348179,0.0
137,27.51004016064257,0.030583022551138435,0.0
138,27.710843373493976,0.02345864672933862,0.0
139,27.91164658634538,0.019099798739843167,0.0
140,28.11244979919679,0.01037799180993983,0.0
141,28.313253012048193,0.005952687667429868,0.0
142,28.514056224899598,0.003748095967289961,0.0
143,28.714859437751002,0.0009485074236229432,0.0
144,28.91566265060241,0.0006255409556023155,0.0
145,29.116465863453815,0.00018572527461416656,0.0
146,29.31726907630522,8.317757697444269e-05,0.0
147,29.518072289156628,5.5831524270516324e-05,0.0
148,29.718875502008032,0.0,0.0
149,29.919678714859437,0.0,0.0
150,30.120481927710845,0.0,0.0
151,30.32128514056225,0.0,0.0
152,30.522088353413654,0.0,0.0
153,30.72289156626506,0.0,0.0
154,30.923694779116467,0.0,0.0
155,31.12449799196787,0.0,0.0
156,31.325301204819276,0.0,0.0
157,31.526104417670684,0.0,0.0
158,31.72690763052209,0.0,0.0
159,31.927710843373493,0.0,0.0
160,32.1285140562249,0.0,0.0
161,32.329317269076306,0.0,0.0
162,32.53012048192771,0.0,0.0
163,32.730923694779115,0.0,0.0
164,32.93172690763052,0.0,0.0
165,33.132530120481924,0.0,0.0
166,33.333333333333336,0.0,0.0
167,33.53413654618474,0.0,0.0
168,33.734939759036145,0.0,0.0
169,33.93574297188755,0.0,0.0
170,34.136546184738954,0.0,0.0
171,34.33734939759036,0.0,0.0
172,34.53815261044177,0.0,0.0
173,34.738955823293175,0.0,0.0
174,34.93975903614458,0.0,0.0
175,35.140562248995984,0.0,0.0
176,35.34136546184739,0.0,0.0
177,35.54216867469879,0.0,0.0
178,35.7429718875502,0.0,0.0
179,35.94377510040161,0.0,0.0
180,36.144578313253014,0.0,0.0
181,36.34538152610442,0.0,0.0
182,36.54618473895582,0.0,0.0
183,36.74698795180723,0.0,0.0
184,36.94779116465863,0.0,0.0
185,37.14859437751004,0.0,0.0
186,37.34939759036145,0.0,0.0
187,37.55020080321285,0.0,0.0
188,37.75100401606426,0.0,0.0
189,37.95180722891566,0.0,0.0
190,38.15261044176707,0.0,0.0
191,38.35341365461847,0.0,0.0
192,38.554216867469876,0.0,0.0
193,38.75502008032129,0.0,0.0
194,38.95582329317269,0.0,0.0
195,39.1566265060241,0.0,0.0
196,39.3574297188755,0.0,0.0
197,39.558232931726906,0.0,0.0
198,39.75903614457831,0.0,0.0
199,39.95983935742972,0.0,0.0
200,40.16064257028113,0.0,0.0
201,40.36144578313253,0.0,0.0
202,40.562248995983936,0.0,0.0
203,40.76305220883534,0.0,0.0
204,40.963855421686745,0.0,0.0
205,41.16465863453815,0.0,0.0
206,41.36546184738956,0.0,0.0
207,41.566265060240966,0.0,0.0
208,41.76706827309237,0.0,0.0
209,41.967871485943775,0.0,0.0
210,42.16867469879518,0.0,0.0
211,42.369477911646584,0.0,0.0
212,42.57028112449799,0.0,0.0
213,42.7710843373494,0.0,0.0
214,42.971887550200805,0.0,0.0
215,43.17269076305221,0.0,0.0
216,43.373493975903614,0.0,0.0
217,43.57429718875502,0.0,0.0
218,43.77510040160642,0.0,0.0
219,43.975903614457835,0.0,0.0
220,44.17670682730924,0.0,0.0
221,44.377510040160644,0.0,0.0
222,44.57831325301205,0.0,0.0
223,44.77911646586345,0.0,0.0
224,44.97991967871486,0.0,0.0
225,45.18072289156626,0.0,0.0
226,45.381526104417674,0.0,0.0
227,45.58232931726908,0.0,0.0
228,45.78313253012048,0.0,0.0
229,45.98393574297189,0.0,0.0
230,46.18473895582329,0.0,0.0
231,46.3855421686747,0.0,0.0
232,46.5863453815261,0.0,0.0
233,46.78714859437751,0.0,0.0
234,46.98795180722892,0.0,0.0
235,47.18875502008032,0.0,0.0
236,47.389558232931726,0.0,0.0
237,47.59036144578313,0.0,0.0
238,47.791164658634536,0.0,0.0
239,47.99196787148594,0.0,0.0
240,48.19277108433735,0.0,0.0
241,48.393574297188756,0.0,0.0
242,48.59437751004016,0.0,0.0
243,48.795180722891565,0.0,0.0
244,48.99598393574297,0.0,0.0
245,49.196787148594375,0.0,0.0
246,49.397590361445786,0.0,0.0
247,49.59839357429719,0.0,0.0
248,49.799196787148595,0.0,0.0
249,50.0,0.0,0.0
